feature,importance_gain,importance_normalized
DAYS_EMPLOYED_PERC,143.81924438476562,0.00307355236024638
FLAG_DOCUMENT_18,141.71522521972656,0.0030285874941161665
FLOORSMAX_MEDI,135.54611206054688,0.002896747750470342
PREV_PRODUCT_COMBINATION_POS_HOUSEHOLD_WITHOUT_INTEREST_MEAN,134.81588745117188,0.002881142164574966
PREV_NAME_YIELD_GROUP_LOW_NORMAL_MEAN,134.48301696777344,0.0028740284096370767
PREV_PRODUCT_COMBINATION_POS_INDUSTRY_WITH_INTEREST_MEAN,131.88131713867188,0.0028184276401809778
APPROVED_CNT_PAYMENT_MEAN,131.77291870117188,0.0028161110637391364
BURO_DAYS_CREDIT_MAX,130.64309692382812,0.0027919657109717255
REFUSED_AMT_APPLICATION_MAX,126.99342346191406,0.002713968760487241
APPROVED_APPLICATION_COUNT,126.95551300048828,0.0027131585783124446
INSTAL_AMT_PAYMENT_MAX,126.9298095703125,0.0027126092718630806
POS_SK_DPD_DEF_MAX,125.88422393798828,0.002690264124648483
BURO_AMT_CREDIT_SUM_DEBT_SUM,125.77977752685547,0.0026880320067227503
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,124.9762191772461,0.0026708592099068383
POS_NAME_CONTRACT_STATUS_ACTIVE_MEAN,124.22528839111328,0.0026548111135621974
CC_AMT_DRAWINGS_POS_CURRENT_SUM,123.92054748535156,0.002648298514124102
ANNUITY_INCOME_PERC,123.66871643066406,0.0026429166479084282
CC_AMT_RECIVABLE_MEAN,120.52411651611328,0.0025757135936110443
PREV_AMT_ANNUITY_MIN,119.08399963378906,0.0025449369429504662
PREV_CHANNEL_TYPE_CHANNEL_OF_CORPORATE_SALES_MEAN,118.6871566772461,0.002536456036163982
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,116.88788604736328,0.0024980039325191924
DAYS_ID_PUBLISH,116.75394439697266,0.0024951414736218837
INSTAL_DPD_MAX,116.34352111816406,0.0024863703425908558
PREV_PRODUCT_COMBINATION_CASH_X_SELL_HIGH_MEAN,115.89029693603516,0.0024766845160475296
POS_MONTHS_BALANCE_MEAN,115.39909362792969,0.002466187039903452
OCCUPATION_TYPE_Accountants,115.28585815429688,0.002463767091455408
ORGANIZATION_TYPE_Bank,114.91315460205078,0.002455802066415967
INSTAL_NUM_INSTALMENT_NUMBER_MAX,114.73921203613281,0.002452084750375881
FLOORSMAX_MODE,114.71543884277344,0.002451576694900601
CC_CNT_DRAWINGS_CURRENT_MAX,114.54898834228516,0.002448019491337
OCCUPATION_TYPE_Drivers,112.8406753540039,0.0024115112379413397
BURO_AMT_CREDIT_SUM_SUM,112.65253448486328,0.0024074904908231104
ORGANIZATION_TYPE_Self_employed,112.4907455444336,0.0024040329091771584
PREV_AMT_ANNUITY_MEAN,109.85037994384766,0.002347605815860752
YEARS_BEGINEXPLUATATION_MODE,109.84872436523438,0.00234757043459049
PREV_CODE_REJECT_REASON_HC_MEAN,109.43995666503906,0.002338834684829724
WALLSMATERIAL_MODE_Panel,108.64089965820312,0.002321758085937565
CC_AMT_BALANCE_MAX,108.32090759277344,0.002314919554890007
BURO_AMT_CREDIT_SUM_DEBT_MAX,108.28689575195312,0.002314192689900021
CC_CNT_INSTALMENT_MATURE_CUM_MEAN,107.9084243774414,0.0023061044010803124
ORGANIZATION_TYPE_Construction,106.95321655273438,0.002285690712517886
BURO_DAYS_CREDIT_ENDDATE_MAX,106.20950317382812,0.002269796858945907
PREV_PRODUCT_COMBINATION_CASH_X_SELL_LOW_MEAN,105.55288696289062,0.0022557643536748897
PREV_NAME_PORTFOLIO_POS_MEAN,105.04894256591797,0.0022449945884923913
DAYS_LAST_PHONE_CHANGE,104.94957733154297,0.0022428710600873704
PREV_NAME_SELLER_INDUSTRY_XNA_MEAN,104.79812622070312,0.002239634407571394
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,104.76515197753906,0.0022389297170180697
LIVINGAREA_MEDI,104.11967468261719,0.0022251352608465094
CC_AMT_RECEIVABLE_PRINCIPAL_MIN,103.93942260742188,0.0022212831046658408
INSTAL_AMT_INSTALMENT_SUM,102.76106262207031,0.0021961004447951784
BURO_AMT_CREDIT_SUM_MEAN,101.28492736816406,0.002164554047697246
PREV_NAME_GOODS_CATEGORY_XNA_MEAN,101.1484603881836,0.0021616376201342383
WEEKDAY_APPR_PROCESS_START_SUNDAY,100.9173583984375,0.0021566987535098147
INSTAL_DAYS_ENTRY_PAYMENT_MAX,100.2919921875,0.0021433340900959045
CC_AMT_INST_MIN_REGULARITY_VAR,100.15321350097656,0.002140368259192393
ORGANIZATION_TYPE_Military,100.14598083496094,0.002140213690325074
INSTAL_AMT_INSTALMENT_MAX,99.60065460205078,0.0021285595564333594
PREV_PRODUCT_COMBINATION_CASH_STREET_HIGH_MEAN,98.94840240478516,0.002114620314234184
PREV_NAME_SELLER_INDUSTRY_CONNECTIVITY_MEAN,98.73274230957031,0.0021100114554024325
INSTAL_PAYMENT_DIFF_MAX,98.17447662353516,0.0020980807932417596
LIVINGAPARTMENTS_MODE,98.01700592041016,0.0020947154963836794
INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,97.78872680664062,0.002089836957270762
CC_AMT_BALANCE_SUM,97.75737762451172,0.0020891669957983855
ORGANIZATION_TYPE_Police,97.67066192626953,0.002087313799863844
NAME_INCOME_TYPE_Commercial_associate,97.45984649658203,0.002082808476085624
CC_AMT_DRAWINGS_CURRENT_VAR,97.31731414794922,0.0020797624258965417
INSTAL_COUNT,96.13077545166016,0.00205440497928984
BURO_AMT_CREDIT_SUM_MAX,95.63748931884766,0.00204386299122511
ORGANIZATION_TYPE_Security_Ministries,95.41486358642578,0.0020391052701825337
NAME_FAMILY_STATUS_Single_not_married,94.73785400390625,0.002024636939402715
INSTAL_DAYS_INSTALMENT_MAX,94.72853088378906,0.002024437695567416
POS_NAME_CONTRACT_STATUS_RETURNED_TO_THE_STORE_MEAN,94.5339126586914,0.002020278521267379
CC_AMT_RECEIVABLE_PRINCIPAL_VAR,92.89306640625,0.0019852120953967193
BURO_DAYS_CREDIT_VAR,92.32431030273438,0.0019730572431595024
PREV_NAME_PRODUCT_TYPE_XNA_MEAN,91.97663879394531,0.001965627176404526
AMT_REQ_CREDIT_BUREAU_QRT,91.54496765136719,0.001956401958563917
PREV_DAYS_DECISION_MEAN,90.82331848144531,0.0019409796378656577
ORGANIZATION_TYPE_Industry_type_9,90.66801452636719,0.0019376606464488418
YEARS_BEGINEXPLUATATION_MEDI,90.32988739013672,0.0019304345519016884
CC_AMT_PAYMENT_CURRENT_SUM,90.25296783447266,0.0019287907087368063
