accuracy,precision,recall,f1_score,roc_auc,tn,fp,fn,tp,business_cost,business_cost_per_client,fold,threshold
0.7862151723103461,0.20975130890052357,0.5954482117974919,0.3102238354506957,0.776914191918769,19684,4830,871,1282,13540.0,0.5077436532043349,2,0.5000000000000001
0.8216147298158774,0.2284105131414268,0.5085926614026939,0.31524399021160215,0.776914191918769,20815,3699,1058,1095,14279.0,0.535455806802415,2,0.5500000000000002
0.8513143585705178,0.25380434782608696,0.4338132837900604,0.3202468712497857,0.776914191918769,21768,2746,1219,934,14936.0,0.5600929988375145,2,0.6000000000000002
0.8743765702928713,0.2777571481619012,0.34742220157919185,0.3087082129591416,0.776914191918769,22569,1945,1405,748,15995.0,0.5998050024374695,2,0.6500000000000001
0.8958263021712228,0.32473359506449806,0.2689270784951231,0.2942073170731707,0.776914191918769,23310,1204,1574,579,16944.0,0.63539205759928,2,0.7000000000000002
0.9074886563917951,0.3605683836589698,0.18857408267533673,0.2476364745349192,0.776914191918769,23794,720,1747,406,18190.0,0.6821164735440807,2,0.7500000000000002
0.9152885588930139,0.41225165562913907,0.11565257779842081,0.18063112078346028,0.776914191918769,24159,355,1904,249,19395.0,0.7273034087073912,2,0.8000000000000003
0.9186260171747853,0.46530612244897956,0.05294937296795169,0.0950792326939116,0.776914191918769,24383,131,2039,114,20521.0,0.7695278809014887,2,0.8500000000000003
0.9196010049874377,0.5818181818181818,0.014862981885740827,0.028985507246376812,0.776914191918769,24491,23,2121,32,21233.0,0.7962275471556606,2,0.9000000000000002
0.19087977199429987,0.08944876564085222,0.983271375464684,0.16398016119032857,0.7639689163282161,2974,21540,36,2116,21900.0,0.8212705317632941,3,0.1
0.29936998424960626,0.09963671591184306,0.9558550185873605,0.18046234153616703,0.7639689163282161,5926,18588,95,2057,19538.0,0.7326933173329333,3,0.15000000000000002
0.3983724593114828,0.1107437090175419,0.9182156133828996,0.19764941235308828,0.7639689163282161,8647,15867,176,1976,17627.0,0.6610290257256431,3,0.20000000000000004
0.48301207530188256,0.12168314255983351,0.8694237918215614,0.21348699224098586,0.7639689163282161,11009,13505,281,1871,16315.0,0.6118277956948923,3,0.25000000000000006
0.5613140328508213,0.13564885496183207,0.8257434944237918,0.23301862050878575,0.7639689163282161,13191,11323,375,1777,15073.0,0.5652516312907823,3,0.30000000000000004
0.6271281782044551,0.14864255434292414,0.7657992565055762,0.2489614019185739,0.7639689163282161,15075,9439,504,1648,14479.0,0.54297607440186,3,0.3500000000000001
0.6861171529288232,0.16367373431414972,0.7030669144981413,0.26553176553176555,0.7639689163282161,16783,7731,639,1513,14121.0,0.5295507387684693,3,0.40000000000000013
0.735318382959574,0.17901073017534677,0.6356877323420075,0.279354706963447,0.7639689163282161,18240,6274,784,1368,14114.0,0.5292882322058051,3,0.4500000000000001
0.7806570164254106,0.19967506092607637,0.5710966542750929,0.2958950282893945,0.7639689163282161,19588,4926,923,1229,14156.0,0.5308632715817896,3,0.5000000000000001
0.8182329558238955,0.22617354196301565,0.5171933085501859,0.31471794146755266,0.7639689163282161,20706,3808,1039,1113,14198.0,0.5324383109577739,3,0.5500000000000002
0.8486087152178804,0.2491349480968858,0.4349442379182156,0.31680487392113726,0.7639689163282161,21693,2821,1216,936,14981.0,0.561801545038626,3,0.6000000000000002
0.8748218705467636,0.2829428989751098,0.35920074349442377,0.3165438165438165,0.7639689163282161,22555,1959,1379,773,15749.0,0.5906022650566264,3,0.6500000000000001
0.8926348158703967,0.3137768465165008,0.2783457249070632,0.2950012312238365,0.7639689163282161,23204,1310,1553,599,16840.0,0.6315157878946974,3,0.7000000000000002
0.9060601515037876,0.3518052057094878,0.19470260223048327,0.25067304816033503,0.7639689163282161,23742,772,1733,419,18102.0,0.6788419710492762,3,0.7500000000000002
0.9134103352583814,0.37715179968701096,0.11198884758364312,0.17269795772124685,0.7639689163282161,24116,398,1911,241,19508.0,0.7315682892072302,3,0.8000000000000003
0.9186979674491862,0.46825396825396826,0.05483271375464684,0.09816971713810316,0.7639689163282161,24380,134,2034,118,20474.0,0.7677941948548713,3,0.8500000000000003
0.9196354908872721,0.5882352941176471,0.013940520446096654,0.02723558783477077,0.7639689163282161,24493,21,2122,30,21241.0,0.7965574139353484,3,0.9000000000000002
